Customer ID,sales_id,product_id,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Country,Location,Size,Color,Season,Year,Review Rating,Subscription Status,Shipping Type,Promo Code Used,Previous Purchases,Payment Method,Discount value
1,10001,P001-B8-L,55,Female,Blouse,Clothing,53,USA,Kentucky,L,Gray,Winter,2023,3.1,Yes,Express,No,0,Debit Card,0
2,10002,P001-SW13-L,19,Male,Sweater,Clothing,64,USA,Maine,L,Maroon,Winter,2023,3.1,Yes,Express,Yes,0,Cash,10
3,10003,P001-J13-S,50,Female,Jeans,Clothing,73,USA,Massachusetts,S,Maroon,Spring,2023,3.1,Yes,Free Shipping,No,0,Credit Card,0
4,10004,P003-SD13-M,2,Male,Sandals,Footwear,90,USA,Rhode Island,M,Maroon,Spring,2023,3.5,Yes,Next Day Air,No,0,Cash,0
5,10005,P001-B20-M,45,Female,Blouse,Clothing,49,USA,Oregon,M,Turquoise,Spring,2023,2.7,Yes,Free Shipping,No,0,Cash,0
6,10006,P003-SNK23-M,46,Female,Sneakers,Footwear,20,USA,Wyoming,M,White,Summer,2023,2.9,Yes,Standard,No,0,Debit Card,0
7,10007,P001-S8-M,0,Male,Shirt,Clothing,85,USA,Montana,M,Gray,Fall,2023,3.2,Yes,Free Shipping,No,0,Cash,0
8,10008,P001-SHTS5-L,27,Female,Shorts,Clothing,34,USA,Louisiana,L,Charcoal,Winter,2023,3.2,Yes,Free Shipping,No,0,Credit Card,0
9,10009,P004-C18-L,26,Female,Coat,Outerwear,97,USA,West Virginia,L,Silver,Summer,2023,2.6,Yes,Express,Yes,8,Debit Card,0
10,10010,P002-HB16-M,57,Male,Handbag,Accessories,31,USA,Missouri,M,Pink,Spring,2023,4.8,Yes,2-Day Shipping,Yes,4,Cash,0
11,10011,P003-SH24-L,0,Male,Shoes,Footwear,34,USA,Arkansas,L,Purple,Fall,2023,4.1,Yes,Store Pickup,No,0,Bank Transfer,0
12,10012,P001-SHTS14-S,30,Male,Shorts,Clothing,68,USA,Hawaii,S,Olive,Winter,2023,4.9,Yes,Store Pickup,No,0,Bank Transfer,0
13,10013,P004-C7-M,61,Female,Coat,Outerwear,72,USA,Delaware,M,Gold,Winter,2023,4.5,Yes,Express,No,37,Debit Card,0
14,10014,P001-D21-M,0,Male,Dress,Clothing,51,USA,New Hampshire,M,Violet,Spring,2023,4.7,Yes,Express,No,31,Credit Card,0
15,10015,P004-C19-L,64,Female,Coat,Outerwear,53,USA,New York,L,Teal,Winter,2023,4.7,Yes,Free Shipping,No,34,Credit Card,0
16,10016,P001-SK19-M,64,Female,Skirt,Clothing,81,USA,Rhode Island,M,Teal,Winter,2023,2.8,Yes,Store Pickup,No,0,Credit Card,0
